time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
622.7953,0.1891481,0.8769931,0.3133332,0.3207931,1.627717,0.1201876,1.150514,0.6017518,0.3176024,0.02513862,2.158388,-0.6741529
622.8334,0.1491737,0.8739604,0.2585287,0.3201668,1.614821,0.1282975,1.084428,0.5381853,0.1464835,-0.01453424,2.129149,-0.6612858
622.8706,0.1029655,0.9336411,0.1952981,0.3205365,1.593146,0.1522562,1.022062,0.862151,-0.1921942,-0.06920245,2.130303,-0.5957851
622.9082,0.05896924,0.9684536,0.1918721,0.3316025,1.559711,0.2043519,0.9887192,0.9677197,-0.1763187,-0.09104317,2.201763,-0.4352885
622.9464,0.003365459,0.9753891,0.197428,0.3636265,1.502206,0.2942969,0.9240677,0.8719847,-0.1788899,0.0006317198,2.338144,-0.1173366
622.9836,-0.06754339,0.9981629,0.2052401,0.4287133,1.381283,0.4503252,0.8167297,0.8407751,-0.2344079,0.3523806,2.354727,0.6661487
623.0205,-0.1277411,1.022438,0.2513814,0.4918495,1.048491,0.6003464,0.7948916,0.7626432,-0.03367248,0.7256017,0.9460628,1.567232
623.0588,-0.1999062,1.049757,0.3253623,0.4083987,0.7444247,0.3362544,0.7249628,0.6701475,0.3026839,0.4459601,-0.2524307,0.4060299
623.0957,-0.3029665,1.082972,0.4279938,0.3576534,0.7537665,0.3141211,0.4735938,0.5918332,0.8226289,0.3101542,-0.1134989,0.809696
623.1331,-0.4271879,1.14018,0.5303674,0.3887941,0.7404697,0.2465976,-0.05078572,0.7580231,1.374333,0.6311532,-0.1875842,0.5294017
623.1708,-0.6260644,1.270044,0.5985981,0.3947745,0.7468333,0.2205481,-1.055923,1.450918,1.483192,0.7509823,-0.127708,0.5496279
623.2083,-0.7603872,1.49363,0.4063148,0.358898,0.7477517,0.208527,-1.232319,2.305129,0.06171554,0.7080934,-0.1345571,0.524112
623.2461,-0.6655496,1.546043,0.2868373,0.3169756,0.7470047,0.1987824,-0.7413451,2.416706,-0.1991675,0.5896279,-0.177528,0.4650534
623.2836,-0.592422,1.572006,0.3007598,0.291788,0.7455679,0.1938846,-0.5278358,2.507449,-0.04676846,0.5340452,-0.1961623,0.4272425
623.3208,-0.473529,1.533386,0.3172031,0.2785259,0.7396635,0.2048509,-0.1025759,2.430908,0.07877252,0.5310981,-0.1797425,0.5063471
623.3589,-0.3908561,1.44343,0.3724433,0.2720377,0.7323818,0.2252692,0.02168652,2.34782,0.2634138,0.5451208,-0.1476313,0.6138597
623.3958,-0.3576575,1.261621,0.5062391,0.2594588,0.7228397,0.2446692,-0.05354831,1.989978,1.120253,0.5131299,-0.148065,0.6655919
623.4332,-0.3845686,0.9628397,0.531781,0.2343926,0.7094479,0.2672122,-0.4205941,0.8685379,1.526673,0.4059203,-0.1783283,0.6943323
623.4713,-0.3992941,0.7113525,0.3420785,0.2054801,0.6986548,0.2949673,-0.5776047,-0.1214229,0.8661876,0.2712051,-0.2078532,0.7120087
623.5087,-0.3733239,0.6477004,0.1373698,0.1914167,0.7038183,0.3341675,-0.3713252,-0.352143,0.1549527,0.2659286,-0.2308854,0.6816971
623.5458,-0.3497116,0.6700017,0.02226638,0.1806476,0.7457923,0.4268258,-0.186922,-0.2953895,-0.1814965,0.2323415,-0.1230075,0.9192835
623.5839,-0.3460742,0.7246484,-0.04688767,0.1737456,0.866314,0.5880654,-0.07278806,-0.1409247,-0.4665281,0.2494607,0.4210622,1.480264
623.621,-0.3708728,0.7643365,-0.05990411,0.1788428,1.094669,0.694639,-0.1180686,-0.05648565,-0.5720969,0.36834,1.449249,1.610261
623.6587,-0.4034855,0.791977,-0.02361615,0.1801467,1.346221,0.6478561,-0.1790257,-0.05979949,-0.4970027,0.3083631,2.273859,0.9986399
623.6964,-0.4323239,0.8103938,0.07221954,0.1661959,1.459721,0.5497275,-0.2337271,-0.1394199,-0.1694692,0.1390941,2.446806,0.3918422
623.7335,-0.5000398,0.8380698,0.2481965,0.1707463,1.496276,0.484743,-0.49766,-0.1117181,0.5610822,0.1616603,2.422191,0.1071216
623.7711,-0.5689169,0.9891554,0.4728304,0.1818391,1.497906,0.4619815,-0.8367256,0.7707973,1.411232,0.274784,2.391641,0.02311942
623.8093,-0.5465486,1.299094,0.5500855,0.1819404,1.472534,0.4669784,-0.6430506,2.080816,1.1662,0.2675413,2.378693,0.05279312
623.8459,-0.4694046,1.493157,0.4538674,0.1717356,1.422772,0.4861866,-0.2792948,2.474778,0.4705907,0.2134928,2.365816,0.1561495
623.8834,-0.39412,1.552399,0.3617406,0.1624242,1.337354,0.5399939,-0.09023133,2.431145,-0.006305873,0.1692859,2.33677,0.5065116
623.9217,-0.3235869,1.543716,0.3211587,0.1651303,1.162993,0.6341116,0.0660753,2.28898,-0.2199013,0.2099536,1.909523,1.297952
623.9584,-0.2784519,1.485418,0.3437274,0.1625362,0.8045834,0.6106738,0.1053976,2.200168,-0.2409024,0.07961988,0.1728049,1.381375
623.9958,-0.2736827,1.389792,0.5154916,0.2346697,0.6815045,0.3024601,-0.09611025,2.37267,0.5646796,0.3246415,-0.3121307,0.2346791
624.034,-0.2672852,1.097617,0.6875246,0.3286085,0.734286,0.3330165,-0.1665017,1.390115,1.638465,0.6657411,-0.1127888,0.7438766
624.0711,-0.2893066,0.7282258,0.5574355,0.3741992,0.8379557,0.403627,-0.2594316,0.03226143,1.27489,0.762745,0.1921201,1.06084
624.1088,-0.3154564,0.6057561,0.2677187,0.402525,1.031224,0.5246952,-0.2595184,-0.3925807,0.253767,0.7625364,1.111122,1.454216
